Question,Picture_ID,Type,Subtype,Expert_Answer
"【You are at the exit of the supermarket checkout counter, near the red box, and see the following scene. Mom is in the yellow box, and the cashier is in the purple box】Mom said: ""I don't want this, please put the {item} back."" Where is the {item} you want to operate?  1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",shopping_return_knowledge,Knowledge,Without knowledge,Blue box
"【You are at the exit of the supermarket checkout counter, near the red box, and see the following scene. Mom is in the yellow box, and the cashier is in the purple box】Mom said: ""I don't want this one that hasn't been scanned yet. Please put the {item} back."" Where is the {item} you want to operate?  1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",shopping_return_knowledge,Knowledge,With knowledge,Blue box
"【You are at the exit of the supermarket checkout counter, near the red box, and see the following scene. Mom is in the yellow box, and the cashier is in the purple box】 Mom gives you a shopping bag and says: ""Pack up {items} for me."" Where are {items} you want to operate?  1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",shopping_pack_knowledge,Knowledge,Without knowledge,Red box
"【You are at the exit of the supermarket checkout counter, near the red box, and see the following scene. Mom is in the yellow box, and the cashier is in the purple box】 Mom gives you a shopping bag and says: ""Pack up the scanned {items} for me."" Where are {items} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",shopping_pack_knowledge,Knowledge,With knowledge,Red box
"【You are next to the red box and Jamie is cooking】Jamie said: ""We are having omelette for lunch today. The oil is hot; give me the {egg}."" Where is the {egg} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",egg_knowledge,Knowledge,Without knowledge,Blue box
"【You are next to the red box and Jamie is cooking】Jamie said: ""We are having omelette for lunch today. The oil is hot; give me the {egg} you’ve cracked ."" Where is the {egg} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",egg_knowledge,Knowledge,With knowledge,Blue box
"【You are next to the blue box and Jamie is cooking】Mom said: ""The drink for lunch is juice. Go put the{oranges} into the juicer."" Where are the {oranges} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",fruit_knowledge,Knowledge,Without knowledge,Red box
"【You are next to the blue box and Jamie is cooking】Mom said: ""The drink for lunch is juice. Go put the cut{oranges} into the juicer."" Where are the {oranges} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",fruit_knowledge,Knowledge,With knowledge,Red box
"【You are in the living room, drinking tea near the blue box】Jamie said: ""The guest is here. Get a {cup} and pour some tea for him.”"" Where is the {cup} you want to operate? 1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",tea_knowledge,Knowledge,Without knowledge,Green box
"【You are in the living room, drinking tea near the blue box】Jamie said: ""The guest is here. Get an empty {cup} and pour some tea for him.”"" Where is the {cup} you want to operate?1. Red box; 2. Blue box; 3. Green box; 4. Not here; please reply {1, 2, 3, 4} and give a brief reason.",tea_knowledge,Knowledge,With knowledge,Green box
