Question,Picture_ID,Type,Subtype,Expert_Answer
"【你在超市收银台出口处，靠近红色框位置，看到场景如下，妈妈在黄色框位置，收银员在紫色框位置】 妈妈说：“这个我不要了，帮我把{东西}放回去” 请问你要操作的{东西}在哪里？请回复{1, 2, 3, 4}：1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",shopping_return_knowledge,Knowledge,Without knowledge,蓝色
"【你在超市收银台出口处，靠近红色框位置，看到场景如下，妈妈在黄色框位置，收银员在紫色框位置】 妈妈说：“这个还没扫的我不要了，帮我把{东西}放回去” 请问你要操作的{东西}在哪里？请回复{1, 2, 3, 4}：1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",shopping_return_knowledge,Knowledge,With knowledge,蓝色
"【你在超市收银台出口处，靠近红色框位置，看到场景如下，妈妈在黄色框位置，收银员在紫色框位置】 妈妈给了你一个购物袋对你说 “帮我把{东西}装起来。” 请问你要操作的{东西}在哪里？请回复{1, 2, 3, 4}：1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",shopping_pack_knowledge,Knowledge,Without knowledge,红色
"【你在超市收银台出口处，靠近红色框位置，看到场景如下，妈妈在黄色框位置，收银员在紫色框位置】 妈妈给了你一个购物袋对你说 “帮我把扫描过的{东西}装起来。” 请问你要操作的{东西}在哪里？请回复{1, 2, 3, 4}：1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",shopping_pack_knowledge,Knowledge,With knowledge,红色
"【你在红色框旁边，李冰在做饭】李冰说：“今天中午吃鸡蛋羹，水热了，快把{蛋}给我。” 请问你要操作的{蛋}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",egg_knowledge,Knowledge,Without knowledge,蓝色
"【你在红色框旁边，李冰在做饭】李冰说：“今天中午吃鸡蛋羹，水热了，快把打好的{蛋}给我。” 请问你要操作的{蛋}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",egg_knowledge,Knowledge,With knowledge,蓝色
"【你在蓝色框旁边，李冰在做饭】李冰说：“中午的饮料是果汁，你去把{橙子}放进榨汁机。” 请问你要操作的{橙子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_knowledge,Knowledge,Without knowledge,红色
"【你在蓝色框旁边，李冰在做饭】李冰说：“中午的饮料是果汁，你去把切好的{橙子}放进榨汁机。” 请问你要操作的{橙子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_knowledge,Knowledge,With knowledge,红色
"【你在客厅，靠近蓝色框位置喝茶】李冰说：“来客人了。你拿个{杯子}给客人倒杯茶。” 请问你要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",tea_knowledge,Knowledge,Without knowledge,绿色
"【你在客厅，靠近蓝色框位置喝茶】李冰说：“来客人了。你拿个空{杯子}给客人倒杯茶。” 请问你要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",tea_knowledge,Knowledge,With knowledge,绿色
"【你在客厅，靠近红色框处】李冰说“要变天了，你快去把{衣服}收了。” 请问你要操作的{衣服}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",clothes_knowledge,Knowledge,Without knowledge,蓝色
"【你在客厅，靠近红色框处】李冰说“要变天了，你快去把挂着的{衣服}收了。” 请问你要操作的{衣服}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",clothes_knowledge,Knowledge,With knowledge,蓝色
"【你在阳台，靠近红色框处】李冰说“把{衣服}拿去洗了。” 请问你要操作的衣服在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",dirty_clothes_knowledge,Knowledge,Without knowledge,绿色
"【你在阳台，靠近红色框处】李冰说“把脏的{衣服}拿去洗了。” 请问你要操作的衣服在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",dirty_clothes_knowledge,Knowledge,With knowledge,绿色
"【你在卧室，靠近蓝色框位置】李冰说“我要去上班了，把那件{外套}给我。” 请问你要操作的{外套}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",coat_knowledge,Knowledge,Without knowledge,红色
"【你在卧室，靠近蓝色框位置】李冰说“我要去上班了，把挂在衣帽杆上的那件{外套}给我。” 请问你要操作的{外套}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",coat_knowledge,Knowledge,With knowledge,红色
"【你在客厅，靠近蓝色框位置】李冰说“我要带水出门，把桌上的{杯子}给我。” 请问你要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_knowledge,Knowledge,Without knowledge,绿色
"【你在客厅，靠近蓝色框位置】李冰说“我要带水出门，把桌上的{运动杯}给我。” 请问你要操作的{运动杯}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_knowledge,Knowledge,With knowledge,绿色
"【你在教师办公室，靠近蓝色框位置】李冰说“我忘了给卷子打分了，把{笔}给我。” 请问你要操作的{笔}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",pen_knowledge,Knowledge,Without knowledge,绿色
"【你在教师办公室，靠近蓝色框位置】李冰说“我忘了给卷子打分了，把红{笔}给我。” 请问你要操作的{笔}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",pen_knowledge,Knowledge,With knowledge,绿色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“拿那本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",library_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“拿这本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",library_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“拿那本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",library_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“拿这本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",library_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】李冰对你说：“把那盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】李冰对你说：“把这盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】你对李冰说：“把那盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】你对李冰说：“把这盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“搬那个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“搬这个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“搬那个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“搬这个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】李冰对你说：“给那个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】李冰对你说：“给这个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】你对李冰说：“给那个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你坐在蓝色框旁边，看到场景如下】你对李冰说：“给这个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“在那块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】李冰对你说：“在这块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“在那块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_involve,Accessability,Accessability,红色
"【李冰在黄色框位置，你站在蓝色框旁边，看到场景如下】你对李冰说：“在这块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_involve,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“拿那本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并拿出简短的理由",library_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“拿这本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并拿出简短的理由",library_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“拿那本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并拿出简短的理由",library_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“拿这本{书}。” 请问要操作的{书}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并拿出简短的理由",library_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“把那盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“把这盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“把那盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“把这盘{水果}收了。” 请问要操作的{水果}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",fruit_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“搬那个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“搬这个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“搬那个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“搬这个{箱子}。” 请问要操作的{箱子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",box_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“给那个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“给这个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“给那个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“给这个{杯子}加点水。” 请问要操作的{杯子}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",cup_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“在那块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_exclude,Accessability,Accessability,蓝色
"【李冰在黄色框位置，王明在紫色框位置】李冰对王明说：“在这块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“在那块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_exclude,Accessability,Accessability,红色
"【李冰在黄色框位置，王明在紫色框位置】王明对李冰说：“在这块{地上}画个标记。” 请问要操作的{地}在哪里？1. 红色框；2. 蓝色框；3. 绿色框；4. 不在这里；请回复{1, 2, 3, 4} ，并给出简短的理由",floor_accessability_exclude,Accessability,Accessability,蓝色
"【你在玄关】妈妈说：“去门口拿那双红{鞋子}给我，你一眼就知道。” 你需要给妈妈要的{鞋子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",shoes_physical_uniqueness,Physical_uniqueness,Unique No Hint,绿色
"【你在玄关】妈妈说：“去门口拿那双不一样的红{鞋子}给我。” 你需要给妈妈要的{鞋子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",shoes_physical_uniqueness,Physical_uniqueness,Unique With Hint,绿色
"【你在教室】李同学说：“好了，把那本{书}给我。” 你需要给李同学要的{书}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",book_physical_uniqueness,Physical_uniqueness,Unique No Hint,绿色
"【你在教室】李同学说：“好了，把那本不一样的{书}给我。” 你需要给李同学要的{书}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",book_physical_uniqueness,Physical_uniqueness,Unique With Hint,绿色
"【你在客厅】李冰说：“把那个{杯子}给我。” 你需要给李冰要的{杯子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",cups_physical_uniqueness,Physical_uniqueness,Unique No Hint,蓝色
"【你在客厅】李冰说：“把那个不一样的{杯子}给我。” 你需要给李冰要的{杯子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",cups_physical_uniqueness,Physical_uniqueness,Unique With Hint,蓝色
"【你在客厅】李冰说：“我要装热水，把那个{杯子}给我。” 你需要给李冰要的{杯子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",mug_physical_uniqueness,Physical_uniqueness,Unique No Hint,绿色
"【你在客厅】李冰说：“我要装热水，把那个不一样的{杯子}给我。” 你需要给李冰要的{杯子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",mug_physical_uniqueness,Physical_uniqueness,Unique With Hint,绿色
"【你在厨房】李冰说：“把刚刚拌过沙拉的{叉子}给我。” 你需要给李冰要的{叉子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 绿色框；3. 两张图片都可以；4. 两张图片都不可以",folk_on_table_physical_uniqueness,Physical_uniqueness,Unique No Hint,绿色
